"","x08_1","x08_2","x08_3","x08_4","x09_1","x09_2","x09_3","x09_4","x09_5","x14_dm1","x14_dm2","x14_dm3","x14_dm4","x14_dm5","x14_dm6","x16_dm2","x16_dm3","x16_dm4","x16_dm5","x16_dm6","x17_dm1","x17_dm2","x17_dm3","x17_dm4","x17_dm5","x17_dm6","x18_dm1","x18_dm2","x18_dm3","x18_dm4","x18_dm5","x18_dm6","x22_dm1","x22_dm2","x22_dm3","x22_dm4","x22_dm5","x22_dm6","x23_dm1","x23_dm2","x23_dm3","x23_dm4","x23_dm5","x23_dm6","x25_dm1","x25_dm2","x25_dm3","x25_dm4","x25_dm5","x25_dm6","x27_dm1","x27_dm2","x27_dm3","x27_dm4","x27_dm5","x27_dm6","x28_1","x28_2"
"x08_1",1,-0.0227430906187039,-0.111842139620912,-0.0886086578641143,0.0206499216587621,0.015640896948023,-0.0578691831205946,0.0348665429578465,-0.0886086578641143,0.0108273419386912,0.0114603880915739,0.0147449431456928,0.0143433802557752,0.0139278073729832,0.0124662444475799,0.000772098105612188,-0.00278058650679075,-0.00354726943965697,-0.00107555854727801,-0.00107555854727801,0.00753793288153469,0.00680089782386539,0.00556719123114699,0.00888639793165055,0.0101140838117621,0.0122979640584126,-0.00347132105516073,0.00490277829523418,0.00335479810557723,0.00256799339320196,0.00224007707320581,-0.00167341792819229,-0.00138675830888107,-0.000899907176840158,-0.000898133504080776,-0.000941980467905349,-0.00123350972607655,-0.00122007958524664,-0.00101805579352182,-0.00100262958258112,-0.00117240988852377,-0.00120100899191565,-0.00102528572035556,-0.000871662259929303,0.000865258511484804,0.00418027388527052,0.00566399662986304,0.00943532724320744,0.0102404199110733,0.0031684118988949,0.0032038995644996,0.00357329556552852,0.00564452008269866,0.00654403527505859,0.00453194574061311,0.000998383561465257,0.0166692076935342,0.0166692076935342
"x08_2",-0.0227430906187039,1,-0.130215741203043,-0.103165426733531,0.0404840235583356,0.0152413533144751,0.0125403692356441,-0.0132656319206644,-0.103165426733531,-0.00324960845317466,-0.00354187274980131,-0.00512894367322628,-0.00570854358081017,-0.00664599489482247,-0.00928572584461033,0.0057278989565971,0.0103951126997198,0.00387044619082315,-0.000827665412846455,-0.000827665412846455,-0.00164506357493785,0.00201165275097765,0.00461844310231367,0.00230749039436211,0.00338871991696571,0.00285123056494495,-0.0159976147463795,-0.0172202383351404,-0.0160969804326551,-0.0166718684988521,-0.0174029309128282,-0.0167198833812947,-0.00163686617641971,-0.00104183730838915,-0.000886958847909095,-0.00115909998382746,-0.00123072950089146,0.00893136742801826,-0.00133811474747699,-0.0013133425181374,-0.00146878132597157,-0.00153126769832699,-0.00126571735631621,-0.00104470275792778,-0.000870038287080039,-0.000928026649614807,-9.341956636358e-06,-0.000128721761638271,0.00143387626139507,0.00458823502213376,-0.000797110003180407,-4.75551080736568e-05,-0.00137421288027433,0.00216003277477815,0.00198356566892226,0.00334657693496351,0.00740862067603478,0.00740862067603478
"x08_3",-0.111842139620912,-0.130215741203043,1,-0.507329555785769,0.01203358286326,0.0200345264882432,0.408887686366186,-0.0252558345596912,-0.507329555785769,0.0292730227001475,0.0293713278124306,0.0246052936559395,0.0185634322928043,0.0133401743673672,0.00741843869503756,-0.00032355409191182,0.00542092207015195,0.00192488181126866,0.00406345744857012,0.00406345744857012,0.0130567873601449,0.00785218023756503,0.00221942079008983,-0.00633666158486854,-0.0116559309540902,-0.0199759952514681,0.0101820492874942,0.00908999521839717,0.00492590811085823,0.00495065161430755,0.00443110712780644,0.00215019834386746,-3.07343497853663e-05,-0.00425686494303746,-0.000635542300541524,0.00456452819407275,0.00685539251510608,0.00617729945108641,-0.000282803681272064,-0.00128226686133084,-0.00674155704789147,-0.00689471844386978,-0.00578056296220365,-0.00480830074909618,0.0145002529368954,0.0156676770080067,0.012688655257294,0.00877303243310349,0.00653329930173264,0.000841465912287765,0.0219723183947089,0.0262264593945326,0.0218528063479737,0.0195135258553858,0.0182514104230795,0.0137762517294515,0.0514154918696408,0.0514154918696408
"x08_4",-0.0886086578641143,-0.103165426733531,-0.507329555785769,1,-0.0720963961477522,-0.046955257676555,-0.474566810350584,-0.269333553761429,1,0.0100964364812327,0.00773804411084276,0.0108770040702322,0.0261903889107661,0.0423886566499326,0.05742361357748,0.00239944361922893,-0.0129807589012043,-0.00474959896342644,-0.0169266032198322,-0.0169266032198322,-0.0180989504359607,-0.00957332259702061,-0.00105573179569377,0.00944295364083808,0.0169788477638927,0.0291229896092197,0.0173128098593217,0.0160729691369545,0.0181633788738513,0.0220263133969764,0.0328746010139588,0.0432788650283157,-0.00465034048497239,0.00526638215625001,0.00481088848336228,-0.00101785669469583,-0.0020074273422258,-0.00473658191767535,0.00486438544243302,0.00389901798185921,0.00822729015540914,0.00402717844997853,0.00880854465139601,0.00974250608009778,0.00987622503199751,0.00196668101134059,0.00328101989871111,0.00751888331560306,0.0179877375950384,0.0328310159243385,0.00600539421575522,-0.00314799199114529,-0.00310440374973862,0.00275149107393736,0.0179189042946922,0.0317889089049225,-0.0561815037437135,-0.0561815037437135
"x09_1",0.0206499216587621,0.0404840235583356,0.01203358286326,-0.0720963961477522,1,-0.00842242066714356,-0.0851236157401151,-0.0483106813124385,-0.0720963961477522,-0.000890074163557303,0.00300652329706735,-0.000785542472741529,-0.00680168769159362,-0.00922362494915427,-0.00959819682700559,-0.00225740323258767,-0.00520295645224129,-0.00141050457401932,0.00380911249883104,0.00380911249883104,0.0137802677948457,0.0104427493906843,0.00518310451659662,0.00883394649543343,0.0159432338239337,0.0139373099041821,-0.00472617935855652,-0.00194539918902174,-0.00253650967861153,-0.00490623791642246,-0.00740196000995734,-0.0115455088289369,-0.00113957542118432,-0.000696042994208886,-0.000731155427510922,-0.000807391761224684,-0.000988563997385212,-0.000900468077534457,-0.00092578740124195,-0.000861893917101487,-0.00099967329635089,-0.00107516996717646,-0.000891318304055202,-0.000754794664831034,-0.00175754225378331,0.00271077897928221,0.00276002138180143,-0.000890716909458962,-0.00418452177437216,-0.00599760123886657,-0.0039066338314172,0.00120030802154783,-0.000584140680222345,-0.00610194601867583,-0.00876191295164775,-0.0105821866364117,0.0101484452095351,0.0101484452095351
"x09_2",0.015640896948023,0.0152413533144751,0.0200345264882432,-0.046955257676555,-0.00842242066714356,1,-0.0554396824946121,-0.0314639928035599,-0.046955257676555,0.0166569556154978,0.0172750465709676,0.0168953155843296,0.0167027580682648,0.0167315407086635,0.0147866879040016,0.00260595053572978,0.000643144201280606,0.0020753002198193,0.00404382948468306,0.00404382948468306,0.0107584454812311,0.0132828516446721,0.0114647525982152,0.0107674263499483,0.0116548815187755,0.0107197863812904,0.00127433021424325,0.00128256947214963,0.00900411641705679,0.0151542553520567,0.0172272700654456,0.0080612923414203,-0.000172136847967095,-0.000299539192735254,-0.000500049167238303,-0.000559756946163503,-0.000648420805144044,-0.000435860854876818,-0.000467077669124779,-0.000490728479819026,-0.000559394169101663,-0.000540160122756862,-0.000474436546239406,-0.000393151849677147,0.0135574657174213,0.011344734540746,0.012633107436041,0.00938214042058426,0.00810589238520725,0.00169036713470001,0.0127239156218181,0.0112785190771481,0.0139215586385489,0.0128651048524994,0.0136259914531162,0.0107004721784502,0.0110438776591991,0.0110438776591991
"x09_3",-0.0578691831205946,0.0125403692356441,0.408887686366186,-0.474566810350584,-0.0851236157401151,-0.0554396824946121,1,-0.317999888500978,-0.474566810350584,0.051769111200536,0.041800646948482,0.0350910571546165,0.028013388006474,0.0139131438467263,-0.00135247117483955,0.00139290216486597,0.0067181606157693,0.010019751420595,0.015482672516059,0.015482672516059,0.0246345892939804,0.020289702159309,0.0135264593456635,0.00427477254800428,-0.00109347819420694,-0.0122603948794206,0.0413523146556232,0.0343444350164322,0.0289531105993891,0.0298561017208562,0.0201635057213664,0.00845802699342048,-0.000847446584039256,-0.00396690539106809,-8.03580893523226e-05,0.00535790739889582,0.00197995365914798,0.0016398090234362,0.000527248550296522,-0.000646942755804307,-0.00619399839299188,-0.00641628974395143,-0.00541137362456686,-0.00447936296923257,0.0326635342568729,0.0337466508817746,0.0285214449037048,0.0268071585509576,0.0196163493576151,0.00413376996782588,0.0395533076484171,0.0410459567815903,0.036496016207937,0.0321074273706729,0.0219238727378907,0.00919392445891119,0.0621238653537741,0.0621238653537741
"x09_4",0.0348665429578465,-0.0132656319206644,-0.0252558345596912,-0.269333553761429,-0.0483106813124385,-0.0314639928035599,-0.317999888500978,1,-0.269333553761429,0.00568922914735997,0.0149064745828089,0.0197172492506866,0.0184212655738399,0.0179624526051448,0.0177220556182265,-0.0109980649010155,-0.00688753692894181,-0.0120222618840094,-0.00891095588942209,-0.00891095588942209,0.000497531388581874,-0.00243616574558212,-0.00190760492101681,-0.00381852363505034,-0.002066427749442,0.00200394829413436,0.0099845304917376,0.0150812895519118,0.0182529593340496,0.0143562023690546,0.0131806810812383,0.0147662762593633,0.000657133927645735,-0.00224370215284066,-0.00263304685088667,-0.00261307954225238,0.00379429256974666,0.00352058437041532,-0.00304349972191714,-0.00293408348372483,-0.00348814428368028,-0.003628073636972,-0.00307410560880468,-0.00250221263436577,-0.00353440738202062,0.00238043567084903,0.0100121667422994,0.0118987485596035,0.00817876626572496,0.00996321024403174,0.00641782300188563,0.013934604361081,0.0160090954463014,0.0180022757524052,0.0192601965340514,0.0167584565240267,0.00786674149636627,0.00786674149636627
"x09_5",-0.0886086578641143,-0.103165426733531,-0.507329555785769,1,-0.0720963961477522,-0.046955257676555,-0.474566810350584,-0.269333553761429,1,0.0100964364812327,0.00773804411084276,0.0108770040702322,0.0261903889107661,0.0423886566499326,0.05742361357748,0.00239944361922893,-0.0129807589012043,-0.00474959896342644,-0.0169266032198322,-0.0169266032198322,-0.0180989504359607,-0.00957332259702061,-0.00105573179569377,0.00944295364083808,0.0169788477638927,0.0291229896092197,0.0173128098593217,0.0160729691369545,0.0181633788738513,0.0220263133969764,0.0328746010139588,0.0432788650283157,-0.00465034048497239,0.00526638215625001,0.00481088848336228,-0.00101785669469583,-0.0020074273422258,-0.00473658191767535,0.00486438544243302,0.00389901798185921,0.00822729015540914,0.00402717844997853,0.00880854465139601,0.00974250608009778,0.00987622503199751,0.00196668101134059,0.00328101989871111,0.00751888331560306,0.0179877375950384,0.0328310159243385,0.00600539421575522,-0.00314799199114529,-0.00310440374973862,0.00275149107393736,0.0179189042946922,0.0317889089049225,-0.0561815037437135,-0.0561815037437135
"x14_dm1",0.0108273419386912,-0.00324960845317466,0.0292730227001475,0.0100964364812327,-0.000890074163557303,0.0166569556154978,0.051769111200536,0.00568922914735997,0.0100964364812327,1,0.592424675993881,0.582119345878636,0.498898291591377,0.486593694115393,0.464433705000731,0.0079675873587836,0.0462631656060922,0.0127586174717909,0.00260810959527179,0.00260810959527179,-0.119352905203057,-0.0369353460527193,-0.0258447639041432,-0.00764251577317557,0.000942924876620883,0.00132442967036412,0.571182761355103,0.311595924456287,0.35634541863574,0.313432089971831,0.323284108759095,0.308946768249419,0.00643324423744323,-0.00367737601168641,0.00750137631618753,0.00492220498463775,-0.000509566163233329,0.00224753989736003,0.00147222609018143,-0.00244389639827024,-0.00433937069584641,-0.00440501797111917,-0.00446171600762503,-0.00347440311987384,0.471240260921165,0.324328503186598,0.348966703398006,0.316856326365726,0.319763921841157,0.302557960039017,0.74015056342997,0.442323236927862,0.467845194263859,0.407741375513945,0.405181426988641,0.376862651969076,0.308718109789003,0.308718109789003
